"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","positive regulation of proteolysis","GO:0045862","0.0002955262018068517","3.5294040078600064","295","896","40","16178","ENSG00000130203,ENSG00000273079,ENSG00000095970,ENSG00000183454,ENSG00000073921,ENSG00000055163,ENSG00000145335,ENSG00000203710,ENSG00000165025,ENSG00000103811,ENSG00000120885,ENSG00000169855,ENSG00000168610,ENSG00000148180,ENSG00000197971,ENSG00000182718,ENSG00000064300,ENSG00000186010,ENSG00000169242,ENSG00000168961,ENSG00000084093,ENSG00000165280,ENSG00000176046,ENSG00000162511,ENSG00000074800,ENSG00000165731,ENSG00000254087,ENSG00000147488,ENSG00000075240,ENSG00000136938,ENSG00000109670,ENSG00000156709,ENSG00000168615,ENSG00000163815,ENSG00000166949,ENSG00000142208,ENSG00000132170,ENSG00000079387,ENSG00000143546,ENSG00000163220"
"GO:BP","amyloid-beta formation","GO:0034205","0.00030076415597797703","3.521773922696549","42","568","11","16178","ENSG00000130203,ENSG00000073921,ENSG00000136717,ENSG00000120885,ENSG00000115310,ENSG00000064687,ENSG00000148053,ENSG00000169242,ENSG00000185591,ENSG00000139970,ENSG00000133318"
"GO:BP","muscle cell migration","GO:0014812","0.0003158090190852666","3.500575471278227","50","840","14","16178","ENSG00000145147,ENSG00000128512,ENSG00000154734,ENSG00000123384,ENSG00000115461,ENSG00000110492,ENSG00000135046,ENSG00000081189,ENSG00000109072,ENSG00000159640,ENSG00000116641,ENSG00000163191,ENSG00000017427,ENSG00000104368"
"GO:BP","signal release","GO:0023061","0.0003537194819952857","3.451341019659262","310","925","42","16178","ENSG00000196126,ENSG00000159082,ENSG00000116729,ENSG00000145335,ENSG00000168993,ENSG00000165025,ENSG00000152661,ENSG00000130477,ENSG00000145242,ENSG00000149927,ENSG00000104332,ENSG00000135744,ENSG00000103496,ENSG00000105649,ENSG00000176406,ENSG00000138078,ENSG00000136854,ENSG00000067715,ENSG00000186472,ENSG00000184702,ENSG00000150907,ENSG00000106089,ENSG00000135046,ENSG00000132639,ENSG00000081189,ENSG00000084093,ENSG00000099365,ENSG00000147571,ENSG00000089169,ENSG00000116266,ENSG00000157152,ENSG00000011347,ENSG00000173227,ENSG00000134294,ENSG00000019505,ENSG00000169047,ENSG00000184349,ENSG00000132170,ENSG00000137869,ENSG00000120088,ENSG00000168621,ENSG00000008056"
"GO:BP","positive regulation of lipid transport","GO:0032370","0.0003577111699364951","3.4464674983021273","62","897","16","16178","ENSG00000130203,ENSG00000141338,ENSG00000095970,ENSG00000151726,ENSG00000155368,ENSG00000100906,ENSG00000123384,ENSG00000182718,ENSG00000064687,ENSG00000025434,ENSG00000186350,ENSG00000147571,ENSG00000111684,ENSG00000132170,ENSG00000131408,ENSG00000137869"
"GO:BP","innate immune response activating cell surface receptor signaling pathway","GO:0002220","0.0003756717863794063","3.4251914200013975","79","691","16","16178","ENSG00000095970,ENSG00000197943,ENSG00000051523,ENSG00000165025,ENSG00000149269,ENSG00000136869,ENSG00000104365,ENSG00000011600,ENSG00000100906,ENSG00000137462,ENSG00000155629,ENSG00000025434,ENSG00000239998,ENSG00000254087,ENSG00000174125,ENSG00000187554"
"GO:BP","developmental growth involved in morphogenesis","GO:0060560","0.0003820071283077686","3.4179285330153983","134","680","21","16178","ENSG00000130203,ENSG00000140575,ENSG00000131711,ENSG00000145147,ENSG00000078018,ENSG00000130477,ENSG00000115310,ENSG00000065320,ENSG00000113578,ENSG00000176406,ENSG00000184347,ENSG00000067715,ENSG00000001617,ENSG00000130558,ENSG00000124785,ENSG00000176697,ENSG00000170989,ENSG00000018189,ENSG00000188064,ENSG00000187122,ENSG00000079805"
"GO:BP","positive regulation of leukocyte activation","GO:0002696","0.0003976312135539895","3.400519531361785","272","871","37","16178","ENSG00000196126,ENSG00000107099,ENSG00000204287,ENSG00000095970,ENSG00000203710,ENSG00000242574,ENSG00000165025,ENSG00000135426,ENSG00000111679,ENSG00000168918,ENSG00000141968,ENSG00000136869,ENSG00000204252,ENSG00000011600,ENSG00000171791,ENSG00000123338,ENSG00000110651,ENSG00000110492,ENSG00000163513,ENSG00000196776,ENSG00000081237,ENSG00000135046,ENSG00000168961,ENSG00000081189,ENSG00000066336,ENSG00000134352,ENSG00000138814,ENSG00000254087,ENSG00000164136,ENSG00000019582,ENSG00000144802,ENSG00000114013,ENSG00000127666,ENSG00000017427,ENSG00000130202,ENSG00000142208,ENSG00000121879"
"GO:BP","regulation of phagocytosis, engulfment","GO:0060099","0.0004025527160252473","3.3951772388246724","12","707","7","16178","ENSG00000095970,ENSG00000197943,ENSG00000125730,ENSG00000123338,ENSG00000064687,ENSG00000177119,ENSG00000167851"
"GO:BP","regulation of membrane invagination","GO:1905153","0.0004025527160252473","3.3951772388246724","12","707","7","16178","ENSG00000095970,ENSG00000197943,ENSG00000125730,ENSG00000123338,ENSG00000064687,ENSG00000177119,ENSG00000167851"
