symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DPP4	0.531930063722458	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8541934315441285	No data	No data	No data	No data	No data	No data	0.41582264359316545	No data	No data	1	1	1	1	1	1	0.22323999999999983	1	-0.35903313190247965	-0.8838622041060981	0	No data	No data	0	0.5	0
PHACTR1	0.5307936723954537	0.8482839633689547	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.49662645823256585	No data	No data	No data	1	0	0	0	0	0.8448300000000003	No data	0.00770993957074384	-0.22348974150275785	0	No data	No data	0	0.5	0
SLC5A2	0.5246113785695625	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8214232389602879	No data	No data	No data	No data	No data	No data	0.8304528683490069	No data	No data	1	1	0	1	1	0	0.5238100000000003	1	0.26234632215044806	-0.35088755848518866	0	No data	No data	0	1	0.5
F7	0.5199531053017674	No data	No data	0.8304109842159603	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4974478470678605	No data	No data	1	0	1	1	1	0	0	No data	-0.012502604709314413	-0.8563370082809693	0	No data	No data	0	1	0.5
EPOR	0.5194093941175543	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8509820674453843	No data	No data	No data	No data	No data	No data	0.06813891023230254	No data	No data	1	1	0	0	1	0	0.06495999999999995	No data	-0.31569076891018966	-0.9544269809368163	0	No data	No data	0	-1	-1
COL4A1	0.5093936241663695	0.8303862584204217	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1505514699071521	No data	No data	1	0	1	0	0	0	0.5356499999999997	No data	-0.9598874765576162	-0.9703572977848751	0	No data	No data	-0.03385250000000006	0.5	0
EDNRA	0.5020863764003135	0.7922772032715785	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.1449099472700639	No data	No data	1	1	0	1	1	0	0.6135849999999998	1	-0.8180871014794748	-0.9768455394215775	0	-1	No data	0	0.5	0
TCF21	0.5005973499004517	0.8184888673570808	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.099115226393051	No data	No data	No data	0	0	0	0	0	0.8044699999999999	No data	-0.47041050218795577	-0.9600569320360292	0	No data	No data	-0.07821250000000006	0.5	0
PDE3A	0.4992561738439899	0.41957349087127277	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7143186871936548	No data	No data	No data	No data	No data	No data	0.09118961964174316	No data	No data	1	1	0	1	1	0	0.1893099999999997	No data	-0.47895394873932073	0	0	-1	No data	0	0.5	0
PLG	0.498903689587145	0.6524155223273622	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6058199267865807	No data	No data	No data	No data	No data	No data	0.7554681918997869	No data	No data	1	0	1	1	1	0	0	No data	-0.5695978328818504	-0.9498534613627004	0	No data	No data	0	1	0.5
CSF3R	0.483537312880181	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7825738341314342	No data	No data	No data	No data	No data	No data	0.2561665813696183	No data	No data	1	1	1	0	0	0	0	No data	-0.17784955198999797	-0.7884090736282103	0	No data	-1	0	0.5	0
CDKN2B	0.48258133044963963	0.7805383823631004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2654252465857089	No data	No data	No data	0	0	0	0	0	0.13043499999999994	No data	0.8534069597832883	-0.4782711760133934	0	No data	No data	-0.45652250000000016	0.5	0
MME	0.47604846251900795	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7749006798723129	No data	No data	No data	No data	No data	No data	0.16325786270218212	No data	No data	1	1	0	1	1	1	0.7066650000000003	No data	0.015836632631798242	-0.6469302396874399	0	-1	No data	0	0.5	0
HRH1	0.46349933525645165	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.05015429080295874	No data	No data	1	1	0	1	1	0	0	0	0.2993331944155033	-0.8126625175112107	0	-1	No data	0	-1	0
DRD2	0.46303222738455846	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.034787151196664985	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.5752240050010419	-0.9552199751574719	0	-1	No data	0	0.75	0
HTR4	0.462898767992589	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	1	1	0	0.6649500000000004	0	-0.3163158991456554	-0.6442877728296464	0	-1	No data	0	0.75	0.5
HTR3A	0.4625291881379043	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	1	0	1	1	0	0.25732	0	0.2829756199208169	-0.7206398364048522	0	-1	No data	0	0.75	0.5
PTGER1	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.26617000000000035	0	0.671806626380496	-0.9156812994709731	0	No data	No data	0	1	0.5
PTGER2	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.3575400000000002	1	0.0899145655344864	-0.878070761945783	0	-1	No data	0	0.5	0
FKBP1A	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.12036999999999978	1	-0.44675974161283605	-0.9407545021933139	0	No data	No data	-0.88426	-1	-1
